n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
8090,9,2.0284301606922126,5.314215080346106,17.510506798516687,1.6198659354052403,8,hrg,2.5,2.0,10000,3,2.0162,0.24
12465,5,1.8048134777376654,3.5184115523465707,7.29265944645006,0.9494599279903988,5,config,2.5,2.0,10000,3,1.9868,0.28
24221,13,2.0317080219644112,5.423723215391603,18.840675446926223,1.669538711643975,12,hrg,2.5,2.0,30000,1,2.0044,0.37
37909,7,1.7979107863568018,3.502149885251524,7.32293123005091,0.9478997021582525,8,config,2.5,2.0,30000,1,1.9852,0.49
23727,10,2.04138744889788,5.292873098158216,16.845534623003328,1.5927822280948054,9,hrg,2.5,2.0,30000,2,2.0038,0.39
38121,4,1.7854725741717163,3.3753574145484118,6.6127331392146065,0.8904560413728257,4,config,2.5,2.0,30000,2,2.0002666666666666,0.52
24280,12,2.02833607907743,5.410296540362438,18.75494233937397,1.6673570500324888,11,hrg,2.5,2.0,30000,3,1.9968,0.62
37900,6,1.7964643799472295,3.4967810026385227,7.298891820580476,0.9464794524571867,7,config,2.5,2.0,30000,3,1.978,0.73
81416,14,2.0300923651370733,5.421096590350792,18.819200157217253,1.6703694292179438,13,hrg,2.5,2.0,100000,1,2.0069,2.05
125909,8,1.8017774742075625,3.5333931649048123,7.492268225464423,0.9610596843868466,9,config,2.5,2.0,100000,1,1.97752,2.61
80179,12,2.0303321318549745,5.324636126666584,17.563027725464277,1.6225443823330674,11,hrg,2.5,2.0,100000,2,1.99938,1.58
128366,6,1.7810011996946233,3.3815652119720174,6.719551906268015,0.8986877788469949,8,config,2.5,2.0,100000,2,1.99468,2.1
80884,13,2.0338138568814603,5.4405939369961915,19.027261263043375,1.675069755566767,12,hrg,2.5,2.0,100000,3,2.00202,1.52
127476,8,1.792823747215162,3.472967460541592,7.226787787505098,0.9371494079862783,9,config,2.5,2.0,100000,3,1.98918,2.06
242379,20,2.028306907776664,5.385825504684812,18.62509128266063,1.6553306523954525,19,hrg,2.5,2.0,300000,1,1.9961733333333334,2.92
